Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,nflRec,nflYds,nflTD,nflYears
1,24,CAR,D.J. Moore,WR,21,2024.0,0,0,7,56.0,36.0,114.0,558.0,7531.0,35.0,7
1,26,ATL,Calvin Ridley,WR,23,2024.0,0,0,4,40.0,24.0,83.0,388.0,5375.0,40.0,7
2,40,DEN,Courtland Sutton,WR,22,2024.0,0,1,5,39.0,39.0,98.0,379.0,5340.0,32.0,7
2,44,SFO,Dante Pettis,WR,22,2024.0,0,0,0,10.0,5.0,58.0,83.0,1104.0,13.0,7
2,47,ARI,Christian Kirk,WR,21,2024.0,0,0,7,41.0,23.0,93.0,404.0,5176.0,29.0,7
2,51,CHI,Anthony Miller,WR,23,2024.0,0,0,2,12.0,12.0,52.0,141.0,1605.0,12.0,7
2,60,PIT,James Washington,WR,22,2022.0,0,0,2,11.0,11.0,62.0,114.0,1629.0,11.0,5
2,61,JAX,DJ Chark,WR,21,2024.0,0,1,4,21.0,13.0,76.0,216.0,3100.0,24.0,7
3,81,DAL,Michael Gallup,WR,22,2023.0,0,0,5,30.0,30.0,86.0,266.0,3744.0,21.0,6
3,91,NOR,Tre'Quan Smith,WR,22,2023.0,0,0,3,15.0,15.0,67.0,131.0,1764.0,18.0,6
4,103,HOU,Keke Coutee,WR,21,2022.0,0,0,0,7.0,7.0,33.0,85.0,966.0,4.0,5
4,105,CLE,Antonio Callaway,WR,21,2020.0,0,0,1,5.0,5.0,25.0,53.0,695.0,5.0,3
4,113,DEN,DaeSean Hamilton,WR,23,2020.0,0,0,0,6.0,6.0,46.0,81.0,833.0,5.0,3
4,132,BAL,Jaleel Scott,WR,23,2020.0,0,0,0,0.0,0.0,4.0,2.0,22.0,0.0,3
4,133,GNB,J'Mon Moore,WR,23,2018.0,0,0,0,0.0,0.0,12.0,2.0,15.0,0.0,1
5,144,TAM,Justin Watson,WR,22,2024.0,0,0,0,11.0,2.0,90.0,87.0,1322.0,9.0,7
5,159,IND,Daurice Fountain,WR,22,2021.0,0,0,0,0.0,0.0,8.0,2.0,23.0,0.0,4
5,174,GNB,Marquez Valdes-Scantling,WR,23,2024.0,0,0,5,28.0,18.0,106.0,205.0,3566.0,20.0,7
6,175,CLE,Damion Ratley,WR,23,2020.0,0,0,0,4.0,3.0,31.0,29.0,407.0,1.0,3
6,185,IND,Deon Cain,WR,22,2020.0,0,0,0,1.0,0.0,15.0,9.0,124.0,0.0,3
6,187,BUF,Ray-Ray McCloud,WR,21,2024.0,0,0,1,13.0,0.0,94.0,152.0,1454.0,2.0,7
6,194,ATL,Russell Gage,WR,22,2022.0,0,0,0,20.0,17.0,74.0,244.0,2491.0,14.0,5
6,196,KAN,Tremon Smith,WR,22,2024.0,0,0,0,7.0,1.0,100.0,0.0,0.0,0.0,7
6,207,GNB,Equanimeous St. Brown,WR,21,2024.0,0,0,2,8.0,4.0,62.0,63.0,928.0,2.0,7
6,208,DAL,Cedrick Wilson Jr.,WR,22,2024.0,0,0,0,11.0,6.0,83.0,121.0,1480.0,12.0,7
6,210,NWE,Braxton Berrios,WR,22,2024.0,1,0,0,11.0,0.0,87.0,134.0,1323.0,6.0,7
7,224,CHI,Javon Wims,WR,23,2022.0,0,0,0,1.0,1.0,34.0,28.0,266.0,2.0,5
7,228,OAK,Marcell Ateman,WR,23,2021.0,0,0,0,2.0,2.0,19.0,20.0,270.0,1.0,4
7,240,SFO,Richie James,WR,23,2023.0,0,0,1,13.0,6.0,66.0,105.0,1372.0,7.0,6
7,253,CIN,Auden Tate,WR,21,2021.0,0,0,1,5.0,5.0,35.0,61.0,799.0,2.0,4
7,256,WAS,Trey Quinn,WR,22,2020.0,0,0,0,2.0,2.0,16.0,35.0,273.0,2.0,3
1,25,BAL,Marquise Brown,WR,22,2024.0,0,0,4,34.0,24.0,74.0,322.0,3735.0,28.0,6
1,32,NWE,N'Keal Harry,WR,21,2023.0,0,0,1,7.0,6.0,49.0,64.0,714.0,5.0,5
2,36,SFO,Deebo Samuel,WR,23,2024.0,1,1,5,47.0,47.0,81.0,334.0,4792.0,22.0,6
2,51,TEN,A.J. Brown,WR,22,2024.0,0,3,6,66.0,26.0,90.0,446.0,7026.0,49.0,6
2,56,KAN,Mecole Hardman,WR,21,2024.0,0,1,0,23.0,23.0,80.0,178.0,2302.0,16.0,6
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021.0,0,0,0,2.0,2.0,40.0,16.0,290.0,1.0,3
2,59,IND,Parris Campbell,WR,22,2024.0,0,0,1,9.0,9.0,49.0,123.0,1117.0,6.0,6
2,62,ARI,Andy Isabella,WR,22,2023.0,0,0,0,4.0,4.0,43.0,33.0,447.0,3.0,5
2,64,SEA,D.K. Metcalf,WR,21,2024.0,0,2,6,51.0,51.0,97.0,438.0,6324.0,48.0,6
3,66,PIT,Diontae Johnson,WR,23,2024.0,0,1,5,35.0,33.0,89.0,424.0,4738.0,28.0,6
3,76,WAS,Terry McLaurin,WR,23,2024.0,0,2,6,47.0,47.0,97.0,460.0,6379.0,38.0,6
3,93,BAL,Miles Boykin,WR,22,2023.0,0,0,2,6.0,6.0,73.0,38.0,498.0,7.0,5
4,103,ARI,Hakeem Butler,WR,23,2020.0,0,0,0,0.0,,2.0,0.0,0.0,0.0,2
4,120,SEA,Gary Jennings Jr,WR,22,2019.0,0,0,0,0.0,,1.0,0.0,0.0,0.0,1
4,126,CHI,Riley Ridley,WR,23,2020.0,0,0,0,1.0,1.0,10.0,10.0,108.0,0.0,2
5,149,OAK,Hunter Renfrow,WR,23,2023.0,0,1,0,21.0,21.0,73.0,269.0,2884.0,17.0,5
5,171,NYG,Darius Slayton,WR,22,2024.0,0,0,5,28.0,28.0,92.0,259.0,3897.0,21.0,6
